Team,Year,Wins,Losses,OT Losses,% Wins,GF,GA,+/-
Boston Bruins,1990,44,24,0,0.0055000000000000005,299,264,35
Buffalo Sabres,1990,31,30,0,0.00388,292,278,14
Calgary Flames,1990,46,26,0,0.00575,344,263,81
Chicago Blackhawks,1990,49,23,0,0.00613,284,211,73
Detroit Red Wings,1990,34,38,0,0.00425,273,298,-25
Edmonton Oilers,1990,37,37,0,0.0046300000000000004,272,272,0
Hartford Whalers,1990,31,38,0,0.00388,238,276,-38
Los Angeles Kings,1990,46,24,0,0.00575,340,254,86
Minnesota North Stars,1990,27,39,0,0.00338,256,266,-10
Montreal Canadiens,1990,39,30,0,0.00487,273,249,24
New Jersey Devils,1990,32,33,0,0.004,272,264,8
New York Islanders,1990,25,45,0,0.00312,223,290,-67
New York Rangers,1990,36,31,0,0.0045000000000000005,297,265,32
Philadelphia Flyers,1990,33,37,0,0.0041199999999999995,252,267,-15
Pittsburgh Penguins,1990,41,33,0,0.00512,342,305,37
Quebec Nordiques,1990,16,50,0,0.002,236,354,-118
St. Louis Blues,1990,47,22,0,0.00588,310,250,60
Toronto Maple Leafs,1990,23,46,0,0.0028699999999999997,241,318,-77
Vancouver Canucks,1990,28,43,0,0.0034999999999999996,243,315,-72
Washington Capitals,1990,37,36,0,0.0046300000000000004,258,258,0
Winnipeg Jets,1990,26,43,0,0.0032500000000000003,260,288,-28
Boston Bruins,1991,36,32,0,0.0045000000000000005,270,275,-5
Buffalo Sabres,1991,31,37,0,0.00388,289,299,-10
Calgary Flames,1991,31,37,0,0.00388,296,305,-9
Chicago Blackhawks,1991,36,29,0,0.0045000000000000005,257,236,21
Detroit Red Wings,1991,43,25,0,0.005370000000000001,320,256,64
Edmonton Oilers,1991,36,34,0,0.0045000000000000005,295,297,-2
Hartford Whalers,1991,26,41,0,0.0032500000000000003,247,283,-36
Los Angeles Kings,1991,35,31,0,0.00438,287,296,-9
Minnesota North Stars,1991,32,42,0,0.004,246,278,-32
Montreal Canadiens,1991,41,28,0,0.00512,267,207,60
New Jersey Devils,1991,38,31,0,0.00475,289,259,30
New York Islanders,1991,34,35,0,0.00425,291,299,-8
New York Rangers,1991,50,25,0,0.00625,321,246,75
Philadelphia Flyers,1991,32,37,0,0.004,252,273,-21
Pittsburgh Penguins,1991,39,32,0,0.00487,343,308,35
Quebec Nordiques,1991,20,48,0,0.0025,255,318,-63
San Jose Sharks,1991,17,58,0,0.00212,219,359,-140
St. Louis Blues,1991,36,33,0,0.0045000000000000005,279,266,13
Toronto Maple Leafs,1991,30,43,0,0.00375,234,294,-60
Vancouver Canucks,1991,42,26,0,0.00525,285,250,35
Washington Capitals,1991,45,27,0,0.005620000000000001,330,275,55
Winnipeg Jets,1991,33,32,0,0.0041199999999999995,251,244,7
Boston Bruins,1992,51,26,0,0.00607,332,268,64
Buffalo Sabres,1992,38,36,0,0.00452,335,297,38
Calgary Flames,1992,43,30,0,0.00512,322,282,40
Chicago Blackhawks,1992,47,25,0,0.005600000000000001,279,230,49
Detroit Red Wings,1992,47,28,0,0.005600000000000001,369,280,89
Edmonton Oilers,1992,26,50,0,0.0031,242,337,-95
Hartford Whalers,1992,26,52,0,0.0031,284,369,-85
Los Angeles Kings,1992,39,35,0,0.00464,338,340,-2
Minnesota North Stars,1992,36,38,0,0.0042899999999999995,272,293,-21
Montreal Canadiens,1992,48,30,0,0.00571,326,280,46
New Jersey Devils,1992,40,37,0,0.0047599999999999995,308,299,9
New York Islanders,1992,40,37,0,0.0047599999999999995,335,297,38
New York Rangers,1992,34,39,0,0.004050000000000001,304,308,-4
Ottawa Senators,1992,10,70,0,0.0011899999999999999,202,395,-193
Philadelphia Flyers,1992,36,37,0,0.0042899999999999995,319,319,0
Pittsburgh Penguins,1992,56,21,0,0.006670000000000001,367,268,99
Quebec Nordiques,1992,47,27,0,0.005600000000000001,351,300,51
San Jose Sharks,1992,11,71,0,0.00131,218,414,-196
St. Louis Blues,1992,37,36,0,0.0044,282,278,4
Tampa Bay Lightning,1992,23,54,0,0.0027400000000000002,245,332,-87
Toronto Maple Leafs,1992,44,29,0,0.00524,288,241,47
Vancouver Canucks,1992,46,29,0,0.0054800000000000005,346,278,68
Washington Capitals,1992,43,34,0,0.00512,325,286,39
Winnipeg Jets,1992,40,37,0,0.0047599999999999995,322,320,2
Mighty Ducks of Anaheim,1993,33,46,0,0.00393,229,251,-22
Boston Bruins,1993,42,29,0,0.005,289,252,37
Buffalo Sabres,1993,43,32,0,0.00512,282,218,64
Calgary Flames,1993,42,29,0,0.005,302,256,46
Chicago Blackhawks,1993,39,36,0,0.00464,254,240,14
Dallas Stars,1993,42,29,0,0.005,286,265,21
Detroit Red Wings,1993,46,30,0,0.0054800000000000005,356,275,81
Edmonton Oilers,1993,25,45,0,0.00298,261,305,-44
Florida Panthers,1993,33,34,0,0.00393,233,233,0
Hartford Whalers,1993,27,48,0,0.00321,227,288,-61
Los Angeles Kings,1993,27,45,0,0.00321,294,322,-28
Montreal Canadiens,1993,41,29,0,0.00488,283,248,35
New Jersey Devils,1993,47,25,0,0.005600000000000001,306,220,86
New York Islanders,1993,36,36,0,0.0042899999999999995,282,264,18
New York Rangers,1993,52,24,0,0.00619,299,231,68
Ottawa Senators,1993,14,61,0,0.00167,201,397,-196
Philadelphia Flyers,1993,35,39,0,0.00417,294,314,-20
Pittsburgh Penguins,1993,44,27,0,0.00524,299,285,14
Quebec Nordiques,1993,34,42,0,0.004050000000000001,277,292,-15
San Jose Sharks,1993,33,35,0,0.00393,252,265,-13
St. Louis Blues,1993,40,33,0,0.0047599999999999995,270,283,-13
Tampa Bay Lightning,1993,30,43,0,0.00357,224,251,-27
Toronto Maple Leafs,1993,43,29,0,0.00512,280,243,37
Vancouver Canucks,1993,41,40,0,0.00488,279,276,3
Washington Capitals,1993,39,35,0,0.00464,277,263,14
Winnipeg Jets,1993,24,51,0,0.0028599999999999997,245,344,-99
Mighty Ducks of Anaheim,1994,16,27,0,0.00333,125,164,-39
Boston Bruins,1994,27,18,0,0.005620000000000001,150,127,23
Buffalo Sabres,1994,22,19,0,0.00458,130,119,11
Calgary Flames,1994,24,17,0,0.005,163,135,28
Chicago Blackhawks,1994,24,19,0,0.005,156,115,41
Dallas Stars,1994,17,23,0,0.0035399999999999997,136,135,1
Detroit Red Wings,1994,33,11,0,0.00688,180,117,63
Edmonton Oilers,1994,17,27,0,0.0035399999999999997,136,183,-47
Florida Panthers,1994,20,22,0,0.00417,115,127,-12
Hartford Whalers,1994,19,24,0,0.00396,127,141,-14
Los Angeles Kings,1994,16,23,0,0.00333,142,174,-32
Montreal Canadiens,1994,18,23,0,0.00375,125,148,-23
New Jersey Devils,1994,22,18,0,0.00458,136,121,15
New York Islanders,1994,15,28,0,0.00312,126,158,-32
New York Rangers,1994,22,23,0,0.00458,139,134,5
Ottawa Senators,1994,9,34,0,0.00188,117,174,-57
Philadelphia Flyers,1994,28,16,0,0.005829999999999999,150,132,18
Pittsburgh Penguins,1994,29,16,0,0.00604,181,158,23
Quebec Nordiques,1994,30,13,0,0.00625,185,134,51
San Jose Sharks,1994,19,25,0,0.00396,129,161,-32
St. Louis Blues,1994,28,15,0,0.005829999999999999,178,135,43
Tampa Bay Lightning,1994,17,28,0,0.0035399999999999997,120,144,-24
Toronto Maple Leafs,1994,21,19,0,0.00438,135,146,-11
Vancouver Canucks,1994,18,18,0,0.00375,153,148,5
Washington Capitals,1994,22,18,0,0.00458,136,120,16
Winnipeg Jets,1994,16,25,0,0.00333,157,177,-20
Mighty Ducks of Anaheim,1995,35,39,0,0.0042699999999999995,234,247,-13
Boston Bruins,1995,40,31,0,0.00488,282,269,13
Buffalo Sabres,1995,33,42,0,0.00402,247,262,-15
Calgary Flames,1995,34,37,0,0.00415,241,240,1
Chicago Blackhawks,1995,40,28,0,0.00488,273,220,53
Colorado Avalanche,1995,47,25,0,0.00573,326,240,86
Dallas Stars,1995,26,42,0,0.00317,227,280,-53
Detroit Red Wings,1995,62,13,0,0.00756,325,181,144
Edmonton Oilers,1995,30,44,0,0.00366,240,304,-64
Florida Panthers,1995,41,31,0,0.005,254,234,20
Hartford Whalers,1995,34,39,0,0.00415,237,259,-22
Los Angeles Kings,1995,24,40,0,0.00293,256,302,-46
Montreal Canadiens,1995,40,32,0,0.00488,265,248,17
New Jersey Devils,1995,37,33,0,0.00451,215,202,13
New York Islanders,1995,22,50,0,0.00268,229,315,-86
New York Rangers,1995,41,27,0,0.005,272,237,35
Ottawa Senators,1995,18,59,0,0.0022,191,291,-100
Philadelphia Flyers,1995,45,24,0,0.00549,282,208,74
Pittsburgh Penguins,1995,49,29,0,0.00598,362,284,78
San Jose Sharks,1995,20,55,0,0.00244,252,357,-105
St. Louis Blues,1995,32,34,0,0.0039000000000000003,219,248,-29
